bill_id,customer_id,billing_period,bill_date,due_date,base_amount,additional_charges,discount_amount,tax_amount,total_amount,payment_status
BIL0000001,7590-VHVEG,2026-06,2026-06-01,2026-06-16,29.85,0.0,0.0,5.37,35.22,Paid
BIL0000002,5575-GNVDE,2026-06,2026-06-01,2026-06-16,56.95,0.0,25.0,5.75,37.7,Paid
BIL0000003,3668-QPYBK,2026-06,2026-06-01,2026-06-16,53.85,0.0,0.0,9.69,63.54,Paid
BIL0000004,7795-CFOCW,2026-06,2026-06-01,2026-06-16,42.3,100.0,25.0,21.11,138.41,Paid
BIL0000005,9237-HQITU,2026-06,2026-06-01,2026-06-16,70.7,0.0,50.0,3.73,24.43,Paid
BIL0000006,9305-CDSKC,2026-06,2026-06-01,2026-06-16,99.65,0.0,0.0,17.94,117.59,Paid
BIL0000007,1452-KIOVK,2026-06,2026-06-01,2026-06-16,89.1,0.0,25.0,11.54,75.64,Paid
BIL0000008,6713-OKOMC,2026-06,2026-06-01,2026-06-16,29.75,100.0,25.0,18.86,123.61,Pending
BIL0000009,7892-POOKP,2026-06,2026-06-01,2026-06-16,104.8,100.0,0.0,36.86,241.66,Paid
BIL0000010,6388-TABGU,2026-06,2026-06-01,2026-06-16,56.15,150.0,25.0,32.61,213.76,Paid
BIL0000011,9763-GRSKD,2026-06,2026-06-01,2026-06-16,49.95,0.0,50.0,0.0,0.0,Paid
BIL0000012,7469-LKBCI,2026-06,2026-06-01,2026-06-16,18.95,50.0,25.0,7.91,51.86,Paid
BIL0000013,8091-TTVAX,2026-06,2026-06-01,2026-06-16,100.35,0.0,0.0,18.06,118.41,Paid
BIL0000014,0280-XJGEX,2026-06,2026-06-01,2026-06-16,103.7,0.0,50.0,9.67,63.37,Paid
BIL0000015,5129-JLPIS,2026-06,2026-06-01,2026-06-16,105.5,100.0,25.0,32.49,212.99,Paid
BIL0000016,3655-SNQYZ,2026-06,2026-06-01,2026-06-16,113.25,0.0,50.0,11.38,74.63,Pending
BIL0000017,8191-XWSZG,2026-06,2026-06-01,2026-06-16,20.65,150.0,50.0,21.72,142.37,Paid
BIL0000018,9959-WOFKT,2026-06,2026-06-01,2026-06-16,106.7,0.0,0.0,19.21,125.91,Paid
BIL0000019,4190-MFLUW,2026-06,2026-06-01,2026-06-16,55.2,0.0,0.0,9.94,65.14,Pending
BIL0000020,4183-MYFRB,2026-06,2026-06-01,2026-06-16,90.05,0.0,50.0,7.21,47.26,Paid
BIL0000021,8779-QRDMV,2026-06,2026-06-01,2026-06-16,39.65,0.0,50.0,0.0,0.0,Paid
BIL0000022,1680-VDCWW,2026-06,2026-06-01,2026-06-16,19.8,50.0,25.0,8.06,52.86,Paid
BIL0000023,1066-JKSGK,2026-06,2026-06-01,2026-06-16,20.15,0.0,50.0,0.0,0.0,Paid
BIL0000024,3638-WEABW,2026-06,2026-06-01,2026-06-16,59.9,50.0,50.0,10.78,70.68,Paid
BIL0000025,6322-HRPFA,2026-06,2026-06-01,2026-06-16,59.6,150.0,50.0,28.73,188.33,Paid
BIL0000026,6865-JZNKO,2026-06,2026-06-01,2026-06-16,55.3,50.0,0.0,18.95,124.25,Paid
BIL0000027,6467-CHFZW,2026-06,2026-06-01,2026-06-16,99.35,0.0,25.0,13.38,87.73,Paid
BIL0000028,8665-UTDHZ,2026-06,2026-06-01,2026-06-16,30.2,50.0,0.0,14.44,94.64,Paid
BIL0000029,5248-YGIJN,2026-06,2026-06-01,2026-06-16,90.25,150.0,0.0,43.24,283.49,Paid
BIL0000030,8773-HHUOZ,2026-06,2026-06-01,2026-06-16,64.7,0.0,0.0,11.65,76.35,Paid
BIL0000031,3841-NFECX,2026-06,2026-06-01,2026-06-16,96.35,50.0,0.0,26.34,172.69,Paid
BIL0000032,4929-XIHVW,2026-06,2026-06-01,2026-06-16,95.5,150.0,25.0,39.69,260.19,Overdue
BIL0000033,6827-IEAUQ,2026-06,2026-06-01,2026-06-16,66.15,50.0,0.0,20.91,137.06,Paid
BIL0000034,7310-EGVHZ,2026-06,2026-06-01,2026-06-16,20.2,0.0,50.0,0.0,0.0,Paid
BIL0000035,3413-BMNZE,2026-06,2026-06-01,2026-06-16,45.25,0.0,25.0,3.65,23.9,Paid
BIL0000036,6234-RAAPL,2026-06,2026-06-01,2026-06-16,99.9,0.0,0.0,17.98,117.88,Paid
BIL0000037,6047-YHPVI,2026-06,2026-06-01,2026-06-16,69.7,100.0,50.0,21.55,141.25,Paid
BIL0000038,6572-ADKRS,2026-06,2026-06-01,2026-06-16,74.8,0.0,50.0,4.46,29.26,Paid
BIL0000039,5380-WJKOV,2026-06,2026-06-01,2026-06-16,106.35,150.0,25.0,41.64,272.99,Overdue
BIL0000040,8168-UQWWF,2026-06,2026-06-01,2026-06-16,97.85,50.0,50.0,17.61,115.46,Paid
BIL0000041,8865-TNMNX,2026-06,2026-06-01,2026-06-16,49.55,0.0,0.0,8.92,58.47,Paid
BIL0000042,9489-DEDVP,2026-06,2026-06-01,2026-06-16,69.2,150.0,25.0,34.96,229.16,Paid
BIL0000043,9867-JCZSP,2026-06,2026-06-01,2026-06-16,20.75,50.0,0.0,12.73,83.48,Paid
BIL0000044,4671-VJLCL,2026-06,2026-06-01,2026-06-16,79.85,150.0,0.0,41.37,271.22,Paid
BIL0000045,4080-IIARD,2026-06,2026-06-01,2026-06-16,76.2,0.0,0.0,13.72,89.92,Overdue
BIL0000046,3714-NTNFO,2026-06,2026-06-01,2026-06-16,84.5,0.0,25.0,10.71,70.21,Paid
BIL0000047,5948-UJZLF,2026-06,2026-06-01,2026-06-16,49.25,0.0,25.0,4.37,28.62,Paid
BIL0000048,7760-OYPDY,2026-06,2026-06-01,2026-06-16,80.65,0.0,25.0,10.02,65.67,Paid
BIL0000049,7639-LIAYI,2026-06,2026-06-01,2026-06-16,79.75,50.0,25.0,18.86,123.61,Overdue
BIL0000050,2954-PIBKO,2026-06,2026-06-01,2026-06-16,64.15,0.0,0.0,11.55,75.7,Pending
BIL0000051,8012-SOUDQ,2026-06,2026-06-01,2026-06-16,90.25,0.0,0.0,16.25,106.5,Paid
BIL0000052,9420-LOJKX,2026-06,2026-06-01,2026-06-16,99.1,50.0,25.0,22.34,146.44,Paid
BIL0000053,6575-SUVOI,2026-06,2026-06-01,2026-06-16,69.5,0.0,50.0,3.51,23.01,Paid
BIL0000054,7495-OOKFY,2026-06,2026-06-01,2026-06-16,80.65,150.0,50.0,32.52,213.17,Paid
BIL0000055,4667-QONEA,2026-06,2026-06-01,2026-06-16,74.85,150.0,50.0,31.47,206.32,Paid
BIL0000056,1658-BYGOY,2026-06,2026-06-01,2026-06-16,95.45,100.0,0.0,35.18,230.63,Paid
BIL0000057,8769-KKTPH,2026-06,2026-06-01,2026-06-16,99.65,50.0,0.0,26.94,176.59,Pending
BIL0000058,5067-XJQFU,2026-06,2026-06-01,2026-06-16,108.45,50.0,25.0,24.02,157.47,Paid
BIL0000059,3957-SQXML,2026-06,2026-06-01,2026-06-16,24.95,100.0,0.0,22.49,147.44,Paid
BIL0000060,5954-BDFSG,2026-06,2026-06-01,2026-06-16,107.5,0.0,0.0,19.35,126.85,Paid
BIL0000061,0434-CSFON,2026-06,2026-06-01,2026-06-16,100.5,0.0,0.0,18.09,118.59,Paid
BIL0000062,1215-FIGMP,2026-06,2026-06-01,2026-06-16,89.9,0.0,25.0,11.68,76.58,Paid
BIL0000063,0526-SXDJP,2026-06,2026-06-01,2026-06-16,42.1,150.0,0.0,34.58,226.68,Pending
BIL0000064,0557-ASKVU,2026-06,2026-06-01,2026-06-16,54.4,50.0,0.0,18.79,123.19,Paid
BIL0000065,5698-BQJOH,2026-06,2026-06-01,2026-06-16,94.4,0.0,0.0,16.99,111.39,Paid
BIL0000066,5122-CYFXA,2026-06,2026-06-01,2026-06-16,75.3,0.0,25.0,9.05,59.35,Pending
BIL0000067,8627-ZYGSZ,2026-06,2026-06-01,2026-06-16,78.9,0.0,50.0,5.2,34.1,Paid
BIL0000068,3410-YOQBQ,2026-06,2026-06-01,2026-06-16,79.2,0.0,0.0,14.26,93.46,Paid
BIL0000069,3170-NMYVV,2026-06,2026-06-01,2026-06-16,20.15,150.0,25.0,26.13,171.28,Paid
BIL0000070,7410-OIEDU,2026-06,2026-06-01,2026-06-16,79.85,100.0,0.0,32.37,212.22,Paid
BIL0000071,2273-QCKXA,2026-06,2026-06-01,2026-06-16,49.05,0.0,25.0,4.33,28.38,Paid
BIL0000072,0731-EBJQB,2026-06,2026-06-01,2026-06-16,20.4,100.0,0.0,21.67,142.07,Paid
BIL0000073,1891-QRQSA,2026-06,2026-06-01,2026-06-16,111.6,50.0,25.0,24.59,161.19,Paid
BIL0000074,8028-PNXHQ,2026-06,2026-06-01,2026-06-16,24.25,0.0,25.0,0.0,0.0,Paid
BIL0000075,5630-AHZIL,2026-06,2026-06-01,2026-06-16,64.5,100.0,25.0,25.11,164.61,Paid
BIL0000076,2673-CXQEU,2026-06,2026-06-01,2026-06-16,110.5,0.0,25.0,15.39,100.89,Paid
BIL0000077,6416-JNVRK,2026-06,2026-06-01,2026-06-16,55.65,100.0,0.0,28.02,183.67,Paid
BIL0000078,5590-ZSKRV,2026-06,2026-06-01,2026-06-16,54.65,0.0,50.0,0.84,5.49,Paid
