outage_id,tower_id,outage_start,outage_end,duration_minutes,severity,cause,estimated_impacted_users
OTG00001,TWR00060,2026-04-18 00:49:00,2026-04-18 06:49:00,360,Major,Commercial Power Outage,424
OTG00002,TWR00009,2026-08-21 02:42:00,2026-08-21 04:42:00,120,Major,Hardware Component Failure,1529
OTG00003,TWR00085,2026-06-07 21:14:00,2026-06-08 01:14:00,240,Minor,Fiber Cut,287
OTG00004,TWR00087,2026-07-24 23:46:00,2026-07-25 02:46:00,180,Critical,Hardware Component Failure,2121
OTG00005,TWR00004,2026-03-13 03:19:00,2026-03-13 06:19:00,180,Minor,Severe Weather / Heavy Rain,1510
OTG00006,TWR00030,2026-01-30 19:19:00,2026-01-30 19:49:00,30,Major,Commercial Power Outage,2654
OTG00007,TWR00063,2026-02-18 16:25:00,2026-02-18 17:55:00,90,Minor,Scheduled Firmware Maintenance,2317
OTG00008,TWR00020,2026-07-26 03:11:00,2026-07-26 04:11:00,60,Major,Hardware Component Failure,2030
OTG00009,TWR00087,2026-06-02 13:38:00,2026-06-02 13:53:00,15,Minor,Severe Weather / Heavy Rain,1739
OTG00010,TWR00058,2026-08-13 03:25:00,2026-08-13 04:25:00,60,Minor,Scheduled Firmware Maintenance,3153
OTG00011,TWR00013,2026-07-29 16:47:00,2026-07-29 19:47:00,180,Minor,Hardware Component Failure,3441
OTG00012,TWR00031,2026-08-19 18:26:00,2026-08-19 18:41:00,15,Minor,Scheduled Firmware Maintenance,3445
OTG00013,TWR00040,2026-04-22 19:33:00,2026-04-22 20:18:00,45,Major,Hardware Component Failure,751
OTG00014,TWR00015,2026-07-08 22:45:00,2026-07-08 23:00:00,15,Minor,Commercial Power Outage,3075
OTG00015,TWR00096,2026-04-20 19:42:00,2026-04-20 22:42:00,180,Major,Commercial Power Outage,2739
OTG00016,TWR00003,2026-08-06 01:48:00,2026-08-06 03:48:00,120,Minor,Severe Weather / Heavy Rain,1564
OTG00017,TWR00010,2026-03-20 00:02:00,2026-03-20 02:02:00,120,Major,Fiber Cut,2707
OTG00018,TWR00028,2026-02-27 10:18:00,2026-02-27 11:18:00,60,Minor,Fiber Cut,1827
