payment_id,bill_id,customer_id,payment_datetime,amount,payment_method,payment_gateway,transaction_status,transaction_ref
PMT0000001,BIL0000001,7590-VHVEG,2026-06-09 15:56:00,35.22,Credit Card,PhonePe,SUCCESS,TXN593039382
PMT0000002,BIL0000002,5575-GNVDE,2026-06-10 22:39:00,37.7,Bank transfer (automatic),BillDesk,SUCCESS,TXN190252049
PMT0000003,BIL0000003,3668-QPYBK,2026-06-10 19:15:00,63.54,Credit Card,BillDesk,SUCCESS,TXN748790225
PMT0000004,BIL0000004,7795-CFOCW,2026-06-13 22:04:00,138.41,Mailed check,Razorpay,SUCCESS,TXN137310385
PMT0000005,BIL0000005,9237-HQITU,2026-06-05 21:31:00,24.43,Net Banking,Stripe,SUCCESS,TXN370898210
PMT0000006,BIL0000006,9305-CDSKC,2026-06-02 09:48:00,117.59,Mailed check,Razorpay,SUCCESS,TXN494601405
PMT0000007,BIL0000007,1452-KIOVK,2026-06-02 12:42:00,75.64,UPI,PhonePe,SUCCESS,TXN256458655
PMT0000008,BIL0000009,7892-POOKP,2026-06-12 21:11:00,241.66,Debit Card,Razorpay,SUCCESS,TXN170135654
PMT0000009,BIL0000010,6388-TABGU,2026-06-15 22:29:00,213.76,Net Banking,Paytm,SUCCESS,TXN700894897
PMT0000010,BIL0000011,9763-GRSKD,2026-06-15 18:06:00,0.0,Debit Card,Razorpay,SUCCESS,TXN918509382
PMT0000011,BIL0000012,7469-LKBCI,2026-06-12 18:34:00,51.86,Bank transfer (automatic),Stripe,SUCCESS,TXN560714246
PMT0000012,BIL0000013,8091-TTVAX,2026-06-05 09:04:00,118.41,Electronic check,Stripe,SUCCESS,TXN825268011
PMT0000013,BIL0000014,0280-XJGEX,2026-06-07 13:07:00,63.37,Electronic check,Razorpay,SUCCESS,TXN621759855
PMT0000014,BIL0000015,5129-JLPIS,2026-06-05 13:42:00,212.99,Bank transfer (automatic),Stripe,SUCCESS,TXN723517056
PMT0000015,BIL0000017,8191-XWSZG,2026-06-15 14:56:00,142.37,Debit Card,PhonePe,SUCCESS,TXN499909672
PMT0000016,BIL0000018,9959-WOFKT,2026-06-08 12:38:00,125.91,Debit Card,BillDesk,SUCCESS,TXN214481109
PMT0000017,BIL0000020,4183-MYFRB,2026-06-13 20:34:00,47.26,Mailed check,Stripe,SUCCESS,TXN607973535
PMT0000018,BIL0000021,8779-QRDMV,2026-06-13 10:17:00,0.0,Electronic check,Razorpay,SUCCESS,TXN297091388
PMT0000019,BIL0000022,1680-VDCWW,2026-06-03 16:39:00,52.86,Bank transfer (automatic),Paytm,SUCCESS,TXN337938485
PMT0000020,BIL0000023,1066-JKSGK,2026-06-06 22:49:00,0.0,Debit Card,Razorpay,SUCCESS,TXN223201537
PMT0000021,BIL0000024,3638-WEABW,2026-06-12 12:50:00,70.68,Net Banking,Razorpay,SUCCESS,TXN454153638
PMT0000022,BIL0000025,6322-HRPFA,2026-06-03 15:55:00,188.33,Credit Card,Stripe,SUCCESS,TXN863126943
PMT0000023,BIL0000026,6865-JZNKO,2026-06-07 14:14:00,124.25,Electronic check,Razorpay,SUCCESS,TXN619635246
PMT0000024,BIL0000027,6467-CHFZW,2026-06-06 10:28:00,87.73,Debit Card,Razorpay,SUCCESS,TXN513728877
PMT0000025,BIL0000028,8665-UTDHZ,2026-06-14 11:31:00,94.64,Mailed check,BillDesk,SUCCESS,TXN581839633
PMT0000026,BIL0000029,5248-YGIJN,2026-06-04 13:05:00,283.49,Electronic check,Razorpay,SUCCESS,TXN102372675
PMT0000027,BIL0000030,8773-HHUOZ,2026-06-05 13:42:00,76.35,Bank transfer (automatic),Stripe,SUCCESS,TXN168842907
PMT0000028,BIL0000031,3841-NFECX,2026-06-13 13:19:00,172.69,Mailed check,Stripe,FAILED,TXN132810130
PMT0000029,BIL0000032,4929-XIHVW,2026-06-06 18:18:00,260.19,Debit Card,Stripe,FAILED,TXN428029650
PMT0000030,BIL0000033,6827-IEAUQ,2026-06-07 10:55:00,137.06,Net Banking,PhonePe,SUCCESS,TXN753574858
PMT0000031,BIL0000034,7310-EGVHZ,2026-06-12 11:07:00,0.0,Debit Card,BillDesk,SUCCESS,TXN200914541
PMT0000032,BIL0000035,3413-BMNZE,2026-06-15 09:32:00,23.9,Net Banking,BillDesk,SUCCESS,TXN775252278
PMT0000033,BIL0000036,6234-RAAPL,2026-06-13 09:00:00,117.88,Mailed check,Razorpay,SUCCESS,TXN309060680
PMT0000034,BIL0000037,6047-YHPVI,2026-06-12 20:45:00,141.25,Bank transfer (automatic),Stripe,SUCCESS,TXN302628920
PMT0000035,BIL0000038,6572-ADKRS,2026-06-13 13:19:00,29.26,Electronic check,Razorpay,SUCCESS,TXN399876944
PMT0000036,BIL0000039,5380-WJKOV,2026-06-04 19:42:00,272.99,UPI,Razorpay,FAILED,TXN951067195
PMT0000037,BIL0000040,8168-UQWWF,2026-06-02 18:16:00,115.46,Electronic check,PhonePe,SUCCESS,TXN319524622
PMT0000038,BIL0000041,8865-TNMNX,2026-06-15 10:43:00,58.47,Credit Card,Paytm,SUCCESS,TXN957133463
PMT0000039,BIL0000042,9489-DEDVP,2026-06-13 20:05:00,229.16,Credit Card,Paytm,SUCCESS,TXN551274541
PMT0000040,BIL0000043,9867-JCZSP,2026-06-15 21:38:00,83.48,Mailed check,PhonePe,SUCCESS,TXN351268835
PMT0000041,BIL0000044,4671-VJLCL,2026-06-08 16:14:00,271.22,UPI,Paytm,SUCCESS,TXN875704154
PMT0000042,BIL0000045,4080-IIARD,2026-06-12 16:17:00,89.92,Net Banking,Stripe,FAILED,TXN139060836
PMT0000043,BIL0000046,3714-NTNFO,2026-06-04 11:57:00,70.21,Mailed check,Stripe,SUCCESS,TXN317051424
PMT0000044,BIL0000047,5948-UJZLF,2026-06-07 10:12:00,28.62,UPI,Razorpay,SUCCESS,TXN450399376
PMT0000045,BIL0000048,7760-OYPDY,2026-06-12 10:38:00,65.67,UPI,PhonePe,SUCCESS,TXN689638466
PMT0000046,BIL0000049,7639-LIAYI,2026-06-09 17:48:00,123.61,Debit Card,Paytm,FAILED,TXN274794482
PMT0000047,BIL0000051,8012-SOUDQ,2026-06-13 09:25:00,106.5,Credit Card,Paytm,SUCCESS,TXN791168359
PMT0000048,BIL0000052,9420-LOJKX,2026-06-06 18:50:00,146.44,Mailed check,PhonePe,SUCCESS,TXN824771858
PMT0000049,BIL0000053,6575-SUVOI,2026-06-08 10:18:00,23.01,Net Banking,Paytm,SUCCESS,TXN779445293
PMT0000050,BIL0000054,7495-OOKFY,2026-06-14 16:16:00,213.17,UPI,Stripe,SUCCESS,TXN408337365
PMT0000051,BIL0000055,4667-QONEA,2026-06-03 10:58:00,206.32,Mailed check,Razorpay,SUCCESS,TXN425295545
PMT0000052,BIL0000056,1658-BYGOY,2026-06-03 21:30:00,230.63,Net Banking,Razorpay,SUCCESS,TXN335081071
PMT0000053,BIL0000058,5067-XJQFU,2026-06-12 21:53:00,157.47,Bank transfer (automatic),Stripe,SUCCESS,TXN191154410
PMT0000054,BIL0000059,3957-SQXML,2026-06-13 20:54:00,147.44,Debit Card,Paytm,SUCCESS,TXN327676158
PMT0000055,BIL0000060,5954-BDFSG,2026-06-10 16:47:00,126.85,UPI,PhonePe,SUCCESS,TXN268030443
PMT0000056,BIL0000061,0434-CSFON,2026-06-09 17:31:00,118.59,Net Banking,Razorpay,SUCCESS,TXN905081242
PMT0000057,BIL0000062,1215-FIGMP,2026-06-12 16:50:00,76.58,Debit Card,Razorpay,SUCCESS,TXN253469440
PMT0000058,BIL0000064,0557-ASKVU,2026-06-15 20:06:00,123.19,Debit Card,Stripe,SUCCESS,TXN416078439
PMT0000059,BIL0000065,5698-BQJOH,2026-06-09 13:33:00,111.39,Net Banking,PhonePe,SUCCESS,TXN417319016
PMT0000060,BIL0000067,8627-ZYGSZ,2026-06-10 20:38:00,34.1,UPI,Paytm,SUCCESS,TXN773539722
PMT0000061,BIL0000068,3410-YOQBQ,2026-06-13 09:24:00,93.46,Bank transfer (automatic),Razorpay,SUCCESS,TXN197295740
PMT0000062,BIL0000069,3170-NMYVV,2026-06-04 12:51:00,171.28,UPI,Razorpay,SUCCESS,TXN840777984
PMT0000063,BIL0000070,7410-OIEDU,2026-06-08 08:21:00,212.22,Mailed check,BillDesk,SUCCESS,TXN154700520
PMT0000064,BIL0000071,2273-QCKXA,2026-06-15 14:48:00,28.38,Mailed check,Paytm,SUCCESS,TXN924341495
PMT0000065,BIL0000072,0731-EBJQB,2026-06-09 09:46:00,142.07,Mailed check,Razorpay,SUCCESS,TXN319430641
PMT0000066,BIL0000073,1891-QRQSA,2026-06-02 12:34:00,161.19,Electronic check,Stripe,SUCCESS,TXN106657411
PMT0000067,BIL0000074,8028-PNXHQ,2026-06-09 22:10:00,0.0,Bank transfer (automatic),Stripe,SUCCESS,TXN520312465
PMT0000068,BIL0000075,5630-AHZIL,2026-06-04 09:18:00,164.61,UPI,Razorpay,SUCCESS,TXN203157799
PMT0000069,BIL0000076,2673-CXQEU,2026-06-06 09:48:00,100.89,Mailed check,Paytm,SUCCESS,TXN589541901
PMT0000070,BIL0000077,6416-JNVRK,2026-06-04 18:27:00,183.67,UPI,PhonePe,SUCCESS,TXN147262374
PMT0000071,BIL0000078,5590-ZSKRV,2026-06-13 09:00:00,5.49,Credit Card,PhonePe,SUCCESS,TXN440168415
PMT0000072,BIL0000079,0191-ZHSKZ,2026-06-12 17:48:00,88.21,UPI,Paytm,SUCCESS,TXN703666264
PMT0000073,BIL0000080,3887-PBQAO,2026-06-03 17:47:00,30.56,Mailed check,PhonePe,SUCCESS,TXN505834864
PMT0000074,BIL0000081,5919-TMRGD,2026-06-05 18:40:00,93.63,Electronic check,PhonePe,SUCCESS,TXN713807312
PMT0000075,BIL0000082,8108-UXRQN,2026-06-10 11:50:00,236.65,Bank transfer (automatic),Stripe,SUCCESS,TXN500120051
PMT0000076,BIL0000083,9191-MYQKX,2026-06-13 14:39:00,88.68,Debit Card,PhonePe,SUCCESS,TXN884996235
PMT0000077,BIL0000084,9919-YLNNG,2026-06-13 22:59:00,122.48,Electronic check,Paytm,SUCCESS,TXN282084399
PMT0000078,BIL0000085,0318-ZOPWS,2026-06-02 12:48:00,53.28,Debit Card,Razorpay,SUCCESS,TXN924011898
PMT0000079,BIL0000086,4445-ZJNMU,2026-06-07 13:15:00,235.17,Net Banking,Razorpay,SUCCESS,TXN922605634
PMT0000080,BIL0000087,4808-YNLEU,2026-06-02 10:31:00,43.84,Debit Card,Stripe,SUCCESS,TXN295444857
PMT0000081,BIL0000088,1862-QRWPE,2026-06-12 18:08:00,0.0,Debit Card,Stripe,SUCCESS,TXN936163049
PMT0000082,BIL0000089,2796-NNUFI,2026-06-03 08:57:00,141.54,Electronic check,Stripe,SUCCESS,TXN982066674
PMT0000083,BIL0000090,3016-KSVCP,2026-06-10 16:27:00,0.0,Credit Card,Razorpay,SUCCESS,TXN392042979
PMT0000084,BIL0000091,4767-HZZHQ,2026-06-10 09:12:00,273.82,Mailed check,BillDesk,SUCCESS,TXN637373105
PMT0000085,BIL0000092,2424-WVHPL,2026-06-13 15:46:00,235.65,Debit Card,BillDesk,SUCCESS,TXN595645449
PMT0000086,BIL0000093,7233-PAHHL,2026-06-06 17:34:00,217.12,Net Banking,Razorpay,SUCCESS,TXN957796089
PMT0000087,BIL0000094,6067-NGCEU,2026-06-04 16:54:00,72.04,Debit Card,PhonePe,SUCCESS,TXN501137032
PMT0000088,BIL0000095,9848-JQJTX,2026-06-08 15:19:00,119.06,UPI,BillDesk,SUCCESS,TXN450421592
PMT0000089,BIL0000096,8637-XJIVR,2026-06-02 21:48:00,93.16,Net Banking,Stripe,SUCCESS,TXN979869614
PMT0000090,BIL0000097,9803-FTJCG,2026-06-10 08:07:00,196.88,Mailed check,Stripe,SUCCESS,TXN268995494
PMT0000091,BIL0000098,0278-YXOOG,2026-06-11 17:46:00,0.0,UPI,Stripe,FAILED,TXN780692650
PMT0000092,BIL0000099,3212-KXOCR,2026-06-15 19:38:00,24.78,Net Banking,Stripe,SUCCESS,TXN751718575
PMT0000093,BIL0000100,4598-XLKNJ,2026-06-11 14:07:00,234.23,Mailed check,BillDesk,FAILED,TXN383591539
PMT0000094,BIL0000101,6380-ARCEH,2026-06-08 11:37:00,82.84,Debit Card,BillDesk,SUCCESS,TXN599528953
PMT0000095,BIL0000102,3679-XASPY,2026-06-15 11:41:00,81.95,Mailed check,Paytm,SUCCESS,TXN366019199
PMT0000096,BIL0000103,7123-WQUHX,2026-06-12 13:55:00,112.1,Electronic check,PhonePe,SUCCESS,TXN954307202
PMT0000097,BIL0000104,5386-THSLQ,2026-06-02 18:15:00,24.25,Credit Card,Paytm,SUCCESS,TXN719442843
PMT0000098,BIL0000105,3192-NQECA,2026-06-03 21:34:00,188.8,Electronic check,Razorpay,SUCCESS,TXN959795897
