ticket_id,customer_id,category,priority,channel,created_at,resolved_at,resolution_time_hours,status,satisfaction_score
TKT000001,6857-VWJDT,Billing Dispute,Critical,Retail Store,2026-01-13 13:16:00,,,In Progress,
TKT000002,1078-TDCRN,Billing Dispute,Low,Call Center,2026-07-23 23:26:00,,,Escalated,
TKT000003,0885-HMGPY,SIM Issue,High,Retail Store,2026-08-14 20:28:00,2026-08-17 08:10:00,59.7,Closed,3.0
TKT000004,6112-KTHFQ,Call Drops,Medium,Call Center,2026-03-28 14:13:00,2026-03-29 05:55:00,15.7,Closed,2.0
TKT000005,5419-JPRRN,Roaming Issue,Medium,Web Portal,2026-03-25 18:54:00,2026-03-28 00:18:00,53.4,Resolved,1.0
TKT000006,8910-ICHIU,SIM Issue,Critical,Call Center,2026-02-11 10:31:00,2026-02-14 03:49:00,65.3,Closed,3.0
TKT000007,7787-BNTZM,Billing Dispute,High,Retail Store,2026-03-07 12:16:00,,,Escalated,
TKT000008,5003-XZWWO,SIM Issue,High,Mobile App,2026-04-10 22:36:00,2026-04-12 23:00:00,48.4,Closed,5.0
TKT000009,1984-FCOWB,Call Drops,High,Web Portal,2026-05-16 23:53:00,2026-05-17 17:53:00,18.0,Resolved,2.0
TKT000010,2446-BEGGB,SIM Issue,High,Web Portal,2026-03-06 10:24:00,,,Escalated,
TKT000011,0685-MLYYM,Billing Dispute,Critical,Chatbot,2026-07-10 08:27:00,,,In Progress,
TKT000012,1565-RHDJD,Roaming Issue,Low,Call Center,2026-01-11 19:56:00,2026-01-12 08:56:00,13.0,Closed,2.0
TKT000013,7459-RRWQZ,Billing Dispute,Medium,Web Portal,2026-06-15 10:05:00,2026-06-17 04:47:00,42.7,Resolved,2.0
TKT000014,7629-WFGLW,Broadband Outage,Critical,Retail Store,2026-08-08 09:44:00,,,Escalated,
TKT000015,0621-TWIEM,Call Drops,Low,Chatbot,2026-05-20 21:07:00,2026-05-21 16:55:00,19.8,Closed,3.0
TKT000016,3005-NFMTA,SIM Issue,Low,Mobile App,2026-06-03 22:15:00,,,Escalated,
TKT000017,6103-BOCOU,Broadband Outage,Medium,Mobile App,2026-06-20 12:13:00,2026-06-22 22:37:00,58.4,Closed,4.0
TKT000018,1216-JWVUX,Roaming Issue,Critical,Call Center,2026-04-18 10:45:00,,,Escalated,
TKT000019,4918-QLLIW,Broadband Outage,High,Call Center,2026-01-10 22:45:00,2026-01-11 06:57:00,8.2,Closed,3.0
TKT000020,4697-LUPSU,Billing Dispute,High,Web Portal,2026-07-11 09:20:00,2026-07-12 14:50:00,29.5,Closed,4.0
TKT000021,7707-PYBBH,Roaming Issue,Medium,Retail Store,2026-08-03 07:30:00,,,In Progress,
TKT000022,5533-RJFTJ,Plan Modification,Low,Call Center,2026-06-18 17:20:00,,,Escalated,
TKT000023,5159-YFPKQ,Network Slowdown,Medium,Retail Store,2026-06-03 16:58:00,,,In Progress,
TKT000024,3678-MNGZX,Broadband Outage,Low,Retail Store,2026-05-26 12:12:00,2026-05-26 14:00:00,1.8,Closed,4.0
TKT000025,5533-RJFTJ,Broadband Outage,Medium,Web Portal,2026-05-04 07:22:00,,,Escalated,
TKT000026,2277-VWCNI,Network Slowdown,Low,Web Portal,2026-01-05 20:31:00,2026-01-07 23:55:00,51.4,Closed,3.0
TKT000027,2956-GGUCQ,Broadband Outage,Medium,Chatbot,2026-03-29 14:16:00,2026-03-30 22:16:00,32.0,Closed,3.0
TKT000028,6368-NWMCE,Roaming Issue,Critical,Web Portal,2026-05-23 14:50:00,,,Escalated,
TKT000029,3399-BMLVW,Plan Modification,Medium,Chatbot,2026-07-19 08:00:00,,,In Progress,
TKT000030,6849-WLEYG,Broadband Outage,High,Web Portal,2026-07-21 21:10:00,2026-07-24 13:52:00,64.7,Closed,3.0
TKT000031,8065-YKXKD,Billing Dispute,Low,Mobile App,2026-07-14 12:40:00,,,Escalated,
TKT000032,7996-MHXLW,Network Slowdown,Medium,Mobile App,2026-06-13 07:09:00,2026-06-13 15:15:00,8.1,Resolved,2.0
TKT000033,5161-XEUVX,Roaming Issue,High,Retail Store,2026-04-30 21:51:00,2026-05-02 22:03:00,48.2,Resolved,5.0
TKT000034,3845-JHAMY,SIM Issue,Low,Mobile App,2026-08-24 16:36:00,2026-08-24 20:48:00,4.2,Closed,3.0
TKT000035,7054-LGEQW,SIM Issue,Low,Web Portal,2026-01-06 18:25:00,,,Escalated,
TKT000036,1447-PJGGA,Broadband Outage,High,Web Portal,2026-03-20 23:19:00,2026-03-23 17:37:00,66.3,Closed,1.0
TKT000037,9586-JGQKH,SIM Issue,Critical,Retail Store,2026-06-14 16:37:00,2026-06-15 15:25:00,22.8,Closed,3.0
TKT000038,0225-ZORZP,SIM Issue,Medium,Mobile App,2026-08-07 22:11:00,,,In Progress,
TKT000039,7074-IEVOJ,Plan Modification,Critical,Chatbot,2026-04-22 22:05:00,2026-04-23 12:17:00,14.2,Closed,3.0
TKT000040,3658-KIBGF,Roaming Issue,Low,Call Center,2026-03-19 10:52:00,2026-03-20 16:16:00,29.4,Resolved,1.0
TKT000041,4976-LNFVV,Billing Dispute,Low,Call Center,2026-07-15 19:13:00,2026-07-17 01:19:00,30.1,Closed,3.0
TKT000042,6211-WWLTF,Roaming Issue,High,Chatbot,2026-01-14 15:57:00,2026-01-16 04:27:00,36.5,Closed,4.0
TKT000043,3606-TWKGI,Roaming Issue,Low,Mobile App,2026-04-24 11:42:00,2026-04-27 03:30:00,63.8,Resolved,3.0
TKT000044,7126-RBHSD,Billing Dispute,Critical,Web Portal,2026-06-13 16:48:00,2026-06-15 09:48:00,41.0,Closed,5.0
TKT000045,1977-STDKI,Plan Modification,Low,Web Portal,2026-05-10 21:03:00,2026-05-12 18:15:00,45.2,Closed,2.0
TKT000046,2234-XADUH,Plan Modification,Low,Call Center,2026-07-05 20:34:00,2026-07-06 18:46:00,22.2,Closed,4.0
TKT000047,8044-BGWPI,Call Drops,High,Call Center,2026-02-27 20:41:00,2026-03-02 03:35:00,54.9,Resolved,5.0
TKT000048,0620-XEFWH,Billing Dispute,Medium,Retail Store,2026-06-03 09:16:00,2026-06-03 14:28:00,5.2,Resolved,4.0
TKT000049,2792-VPPET,Billing Dispute,Medium,Retail Store,2026-03-27 17:11:00,,,Escalated,
TKT000050,6892-EZDTG,Call Drops,Low,Chatbot,2026-05-15 12:26:00,,,In Progress,
TKT000051,8313-AFGBW,SIM Issue,Medium,Web Portal,2026-04-09 09:43:00,2026-04-10 20:43:00,35.0,Resolved,4.0
TKT000052,1343-EHPYB,Billing Dispute,Low,Web Portal,2026-05-17 16:09:00,2026-05-18 19:51:00,27.7,Closed,3.0
TKT000053,8999-YPYBV,Billing Dispute,High,Call Center,2026-01-18 21:05:00,,,In Progress,
TKT000054,1602-IJQQE,Billing Dispute,Critical,Chatbot,2026-06-27 17:50:00,2026-06-29 01:38:00,31.8,Resolved,2.0
TKT000055,5451-MHQOF,Call Drops,Critical,Chatbot,2026-08-16 13:14:00,2026-08-18 19:44:00,54.5,Resolved,3.0
TKT000056,0831-JNISG,Billing Dispute,Critical,Call Center,2026-05-03 08:20:00,,,Escalated,
TKT000057,0404-SWRVG,Billing Dispute,Low,Mobile App,2026-01-10 13:15:00,,,In Progress,
TKT000058,6997-UVGOX,Broadband Outage,Critical,Web Portal,2026-02-27 22:04:00,,,In Progress,
TKT000059,2657-VPXTA,Plan Modification,Low,Mobile App,2026-06-04 08:01:00,2026-06-05 09:55:00,25.9,Closed,4.0
TKT000060,8819-WFGGJ,Call Drops,High,Call Center,2026-03-26 14:51:00,,,In Progress,
TKT000061,0114-IGABW,Plan Modification,Medium,Web Portal,2026-06-23 22:36:00,2026-06-24 02:18:00,3.7,Closed,4.0
TKT000062,6650-BWFRT,Billing Dispute,High,Retail Store,2026-08-01 23:44:00,,,In Progress,
TKT000063,3096-JRDSO,Roaming Issue,High,Call Center,2026-01-05 07:07:00,,,Escalated,
TKT000064,6230-BSUXY,Network Slowdown,High,Mobile App,2026-07-05 10:01:00,2026-07-06 01:43:00,15.7,Closed,2.0
TKT000065,1907-YLNYW,Network Slowdown,Medium,Mobile App,2026-04-30 20:54:00,2026-05-03 07:24:00,58.5,Closed,1.0
TKT000066,2761-OCIAX,Billing Dispute,Low,Call Center,2026-02-24 21:43:00,2026-02-27 06:01:00,56.3,Closed,3.0
TKT000067,1465-VINDH,Roaming Issue,Medium,Call Center,2026-08-31 12:56:00,,,Escalated,
TKT000068,8034-RYTVV,Roaming Issue,Low,Retail Store,2026-08-27 22:18:00,,,Escalated,
TKT000069,4415-IJZTP,SIM Issue,High,Call Center,2026-08-21 23:23:00,2026-08-24 16:53:00,65.5,Closed,2.0
TKT000070,4446-BZKHU,Billing Dispute,High,Web Portal,2026-08-05 23:34:00,,,In Progress,
TKT000071,7515-LODFU,Roaming Issue,Medium,Web Portal,2026-03-10 18:18:00,,,In Progress,
TKT000072,4510-PYUSH,Network Slowdown,Medium,Web Portal,2026-03-15 21:07:00,2026-03-16 04:25:00,7.3,Closed,1.0
TKT000073,1579-KLYDT,Billing Dispute,High,Mobile App,2026-07-11 23:48:00,2026-07-14 14:42:00,62.9,Resolved,2.0
TKT000074,0067-DKWBL,Roaming Issue,Critical,Mobile App,2026-07-16 19:31:00,2026-07-19 10:19:00,62.8,Closed,3.0
TKT000075,0533-BNWKF,Network Slowdown,High,Retail Store,2026-06-08 17:07:00,2026-06-09 06:13:00,13.1,Resolved,3.0
TKT000076,0731-EBJQB,Broadband Outage,Critical,Web Portal,2026-01-04 10:55:00,2026-01-04 11:49:00,0.9,Closed,5.0
TKT000077,4548-SDBKE,Broadband Outage,High,Mobile App,2026-08-25 21:52:00,,,In Progress,
TKT000078,1240-KNSEZ,Roaming Issue,Critical,Web Portal,2026-03-17 18:20:00,2026-03-18 01:50:00,7.5,Resolved,1.0
TKT000079,6595-COKXZ,Network Slowdown,Low,Retail Store,2026-01-28 09:49:00,2026-01-30 05:55:00,44.1,Closed,1.0
TKT000080,2696-NARTR,Plan Modification,Low,Retail Store,2026-01-19 21:43:00,2026-01-22 11:01:00,61.3,Closed,1.0
TKT000081,8166-ORCHU,Roaming Issue,Medium,Chatbot,2026-05-15 16:15:00,,,Escalated,
TKT000082,6038-GCYEC,Broadband Outage,Medium,Retail Store,2026-05-14 14:44:00,2026-05-15 00:02:00,9.3,Closed,2.0
TKT000083,6479-OAUSD,SIM Issue,Critical,Call Center,2026-01-18 22:15:00,,,Escalated,
TKT000084,2845-KDHVX,Billing Dispute,Low,Chatbot,2026-08-14 20:24:00,2026-08-15 04:06:00,7.7,Closed,3.0
TKT000085,0641-EVBOJ,Network Slowdown,Low,Call Center,2026-02-15 20:27:00,2026-02-16 03:39:00,7.2,Closed,4.0
TKT000086,3363-EWLGO,SIM Issue,Critical,Web Portal,2026-08-21 23:04:00,2026-08-22 18:28:00,19.4,Closed,5.0
TKT000087,1731-TVIUK,Broadband Outage,Low,Web Portal,2026-01-11 19:42:00,2026-01-13 05:12:00,33.5,Resolved,1.0
TKT000088,0193-ESZXP,Call Drops,Critical,Web Portal,2026-01-10 16:00:00,2026-01-11 21:54:00,29.9,Closed,3.0
TKT000089,2469-DTSGX,Billing Dispute,High,Mobile App,2026-05-30 22:56:00,2026-06-01 04:26:00,29.5,Closed,3.0
TKT000090,3859-CVCET,Billing Dispute,Critical,Call Center,2026-07-24 20:59:00,,,In Progress,
TKT000091,3669-WHAFY,Billing Dispute,Medium,Chatbot,2026-08-08 16:25:00,2026-08-08 17:07:00,0.7,Closed,4.0
TKT000092,2075-RMJIK,Plan Modification,Medium,Mobile App,2026-05-14 15:27:00,,,In Progress,
TKT000093,0611-DFXKO,Network Slowdown,Critical,Retail Store,2026-06-05 15:04:00,,,Escalated,
TKT000094,3082-WQRVY,Broadband Outage,High,Web Portal,2026-07-21 15:29:00,2026-07-23 12:53:00,45.4,Closed,3.0
TKT000095,3454-JFUBC,Call Drops,High,Mobile App,2026-07-26 20:36:00,2026-07-29 10:54:00,62.3,Closed,4.0
TKT000096,5322-ZSMZY,Plan Modification,Medium,Web Portal,2026-06-23 21:06:00,,,Escalated,
TKT000097,2181-TIDSV,Call Drops,Critical,Chatbot,2026-06-24 23:54:00,,,Escalated,
TKT000098,5989-PGKJB,Plan Modification,Medium,Retail Store,2026-06-30 09:10:00,,,Escalated,
TKT000099,1069-XAIEM,Roaming Issue,Critical,Mobile App,2026-08-02 18:39:00,,,Escalated,
TKT000100,3404-JNXAX,Plan Modification,Critical,Chatbot,2026-01-21 20:44:00,2026-01-22 16:44:00,20.0,Closed,5.0
TKT000101,5196-SGOAK,Billing Dispute,Low,Retail Store,2026-05-24 15:24:00,2026-05-27 15:24:00,72.0,Closed,3.0
TKT000102,0022-TCJCI,Call Drops,Medium,Retail Store,2026-05-02 21:33:00,,,In Progress,
TKT000103,2108-XWMPY,SIM Issue,Medium,Call Center,2026-04-06 14:48:00,2026-04-09 13:24:00,70.6,Resolved,3.0
TKT000104,1741-WTPON,Broadband Outage,Critical,Retail Store,2026-02-27 07:04:00,2026-02-27 08:16:00,1.2,Resolved,3.0
TKT000105,2840-XANRC,SIM Issue,Medium,Retail Store,2026-06-25 15:29:00,2026-06-28 13:41:00,70.2,Resolved,3.0
TKT000106,3638-WEABW,SIM Issue,Medium,Call Center,2026-06-05 15:05:00,2026-06-07 05:23:00,38.3,Closed,5.0
TKT000107,1285-OKIPP,Plan Modification,Medium,Web Portal,2026-01-07 19:08:00,2026-01-09 23:08:00,52.0,Resolved,3.0
TKT000108,4597-ELFTS,Broadband Outage,Low,Retail Store,2026-07-09 15:04:00,2026-07-12 01:04:00,58.0,Closed,1.0
TKT000109,1935-IMVBB,SIM Issue,High,Call Center,2026-04-29 21:46:00,,,Escalated,
TKT000110,0754-UKWQP,Broadband Outage,Medium,Mobile App,2026-08-25 21:12:00,2026-08-26 04:30:00,7.3,Closed,1.0
TKT000111,0902-RFHOF,Billing Dispute,Medium,Call Center,2026-02-11 13:59:00,,,In Progress,
TKT000112,1063-DHQJF,Network Slowdown,Critical,Web Portal,2026-06-24 11:12:00,,,In Progress,
