tower_id,tower_name,city,state,latitude,longitude,technology,vendor,capacity,installation_date,status
TWR00001,AHM-TWR-0001,Ahmedabad,Gujarat,23.042859,72.57138,5G,Cisco,2510,2023-04-30,Degraded
TWR00002,JAI-TWR-0002,Jaipur,Rajasthan,26.89561,75.771911,5G,Huawei,3062,2021-05-10,Degraded
TWR00003,LUC-TWR-0003,Lucknow,Uttar Pradesh,26.879624,80.954979,4G,Samsung Networks,3216,2022-04-27,Degraded
TWR00004,KOL-TWR-0004,Kolkata,West Bengal,22.566561,88.352128,4G,Ericsson,2109,2024-09-10,Active
TWR00005,BEN-TWR-0005,Bengaluru,Karnataka,13.003509,77.615485,5G,Cisco,4264,2026-02-08,Maintenance
TWR00006,BEN-TWR-0006,Bengaluru,Karnataka,12.986721,77.620849,5G,Samsung Networks,2733,2023-10-09,Active
TWR00007,CHE-TWR-0007,Chennai,Tamil Nadu,13.115619,80.27774,4G,Nokia,4592,2021-09-11,Degraded
TWR00008,PUN-TWR-0008,Pune,Maharashtra,18.485904,73.843081,5G,Samsung Networks,3667,2026-02-13,Degraded
TWR00009,JAI-TWR-0009,Jaipur,Rajasthan,26.939015,75.749928,5G,Samsung Networks,4031,2022-05-16,Maintenance
TWR00010,HYD-TWR-0010,Hyderabad,Telangana,17.390557,78.52001,5G,Ericsson,2137,2024-09-28,Active
TWR00011,LUC-TWR-0011,Lucknow,Uttar Pradesh,26.84615,80.945958,4G,Samsung Networks,1692,2021-08-07,Degraded
TWR00012,MUM-TWR-0012,Mumbai,Maharashtra,19.09096,72.91742,5G,Huawei,2974,2022-05-19,Maintenance
TWR00013,BEN-TWR-0013,Bengaluru,Karnataka,12.968601,77.56102,4G,Nokia,2634,2025-05-27,Maintenance
TWR00014,KOL-TWR-0014,Kolkata,West Bengal,22.549538,88.356618,5G,Nokia,4822,2022-10-24,Active
TWR00015,LUC-TWR-0015,Lucknow,Uttar Pradesh,26.886035,80.97661,4G,Nokia,2436,2023-01-31,Active
TWR00016,AHM-TWR-0016,Ahmedabad,Gujarat,22.983973,72.591555,5G,Samsung Networks,2014,2021-06-05,Degraded
TWR00017,MUM-TWR-0017,Mumbai,Maharashtra,19.089118,72.84109,5G,Samsung Networks,1964,2023-02-13,Active
TWR00018,LUC-TWR-0018,Lucknow,Uttar Pradesh,26.849387,80.97295,5G,Samsung Networks,2381,2025-09-01,Degraded
TWR00019,MUM-TWR-0019,Mumbai,Maharashtra,19.101044,72.87398,4G,Huawei,4420,2026-01-25,Active
TWR00020,CHE-TWR-0020,Chennai,Tamil Nadu,13.103779,80.298016,5G,Samsung Networks,2460,2024-01-06,Degraded
TWR00021,CHE-TWR-0021,Chennai,Tamil Nadu,13.047767,80.252922,4G,Huawei,4213,2026-01-14,Active
TWR00022,KOL-TWR-0022,Kolkata,West Bengal,22.546459,88.400125,4G,Cisco,3862,2025-01-12,Active
TWR00023,JAI-TWR-0023,Jaipur,Rajasthan,26.928516,75.820279,4G,Nokia,1990,2023-11-04,Active
TWR00024,CHE-TWR-0024,Chennai,Tamil Nadu,13.084771,80.236495,4G,Cisco,3355,2025-04-12,Degraded
TWR00025,HYD-TWR-0025,Hyderabad,Telangana,17.386678,78.483099,5G,Ericsson,3094,2022-08-20,Active
TWR00026,KOL-TWR-0026,Kolkata,West Bengal,22.555542,88.362861,5G,Cisco,2018,2026-02-15,Active
TWR00027,CHE-TWR-0027,Chennai,Tamil Nadu,13.050862,80.28558,4G,Nokia,2853,2025-09-30,Active
TWR00028,HYD-TWR-0028,Hyderabad,Telangana,17.368819,78.480177,5G,Cisco,1732,2022-12-15,Maintenance
TWR00029,BEN-TWR-0029,Bengaluru,Karnataka,12.991298,77.627018,5G,Huawei,3679,2023-02-03,Degraded
TWR00030,JAI-TWR-0030,Jaipur,Rajasthan,26.912921,75.763252,5G,Huawei,4342,2021-05-22,Degraded
TWR00031,LUC-TWR-0031,Lucknow,Uttar Pradesh,26.87801,80.983128,4G,Nokia,4773,2023-12-29,Active
TWR00032,DEL-TWR-0032,Delhi,Delhi,28.740296,77.128102,5G,Huawei,2721,2024-01-27,Active
TWR00033,DEL-TWR-0033,Delhi,Delhi,28.70565,77.088821,5G,Huawei,2026,2021-08-03,Maintenance
TWR00034,LUC-TWR-0034,Lucknow,Uttar Pradesh,26.834434,80.921629,4G,Samsung Networks,2813,2024-06-29,Degraded
TWR00035,JAI-TWR-0035,Jaipur,Rajasthan,26.879872,75.780155,5G,Huawei,1512,2023-03-19,Active
TWR00036,HYD-TWR-0036,Hyderabad,Telangana,17.350554,78.460076,5G,Nokia,2421,2021-04-07,Active
TWR00037,CHE-TWR-0037,Chennai,Tamil Nadu,13.07275,80.293377,5G,Cisco,4462,2022-01-23,Active
TWR00038,PUN-TWR-0038,Pune,Maharashtra,18.53465,73.858445,4G,Samsung Networks,2737,2022-09-01,Active
TWR00039,KOL-TWR-0039,Kolkata,West Bengal,22.54055,88.3639,5G,Cisco,3673,2022-05-23,Active
TWR00040,AHM-TWR-0040,Ahmedabad,Gujarat,22.988796,72.602647,5G,Samsung Networks,4088,2021-07-05,Active
TWR00041,PUN-TWR-0041,Pune,Maharashtra,18.558056,73.867315,5G,Nokia,3986,2021-08-17,Degraded
TWR00042,BEN-TWR-0042,Bengaluru,Karnataka,12.98761,77.599111,4G,Nokia,1572,2024-08-09,Active
TWR00043,CHE-TWR-0043,Chennai,Tamil Nadu,13.100102,80.256837,5G,Nokia,2327,2022-06-13,Active
TWR00044,PUN-TWR-0044,Pune,Maharashtra,18.556499,73.851016,5G,Huawei,3223,2026-01-24,Degraded
