usage_id,customer_id,usage_date,tower_id,voice_minutes,data_usage_mb,data_usage_gb,sms_count,is_roaming
USG00000001,5949-HGVJL,2026-08-31,TWR00055,118,2137.95,2.088,15,False
USG00000002,8868-WOZGU,2026-08-31,TWR00038,152,3874.93,3.784,6,False
USG00000003,3689-MOZGR,2026-08-31,TWR00051,166,911.28,0.89,12,False
USG00000004,0580-PIQHM,2026-08-31,TWR00061,26,1077.71,1.052,3,False
USG00000005,8717-VCTXJ,2026-08-31,TWR00009,146,1359.89,1.328,22,False
USG00000006,6872-HXFNF,2026-08-31,TWR00064,38,1851.12,1.808,20,False
USG00000007,4906-ZHGPK,2026-08-31,TWR00047,66,3335.76,3.258,9,False
USG00000008,8409-WQJUX,2026-08-31,TWR00013,49,4361.04,4.259,25,False
USG00000009,9762-YAQAA,2026-08-31,TWR00003,47,3190.77,3.116,4,False
USG00000010,1173-XZPYF,2026-08-31,TWR00043,106,2633.11,2.571,22,False
USG00000011,8681-ICONS,2026-08-31,TWR00034,60,3559.04,3.476,25,True
USG00000012,2608-BHKFN,2026-08-31,TWR00080,33,67.84,0.066,18,False
USG00000013,6016-NXBNJ,2026-08-31,TWR00083,157,1322.34,1.291,8,False
USG00000014,9732-EQMWY,2026-08-31,TWR00072,44,4445.02,4.341,9,False
USG00000015,0786-IVLAW,2026-08-31,TWR00025,5,3074.21,3.002,5,False
USG00000016,8272-ONJLV,2026-08-31,TWR00033,34,1817.5,1.775,0,False
USG00000017,5915-DGNVC,2026-08-31,TWR00042,43,1809.14,1.767,21,False
USG00000018,6086-ESGRL,2026-08-31,TWR00027,29,634.5,0.62,22,False
USG00000019,8597-CWYHH,2026-08-31,TWR00085,42,2293.15,2.239,11,False
USG00000020,7746-AWNQW,2026-08-31,TWR00080,73,1840.4,1.797,1,False
USG00000021,5076-YVXCM,2026-08-31,TWR00013,59,3796.16,3.707,25,False
USG00000022,1139-WUOAH,2026-08-31,TWR00051,92,1828.38,1.786,10,False
USG00000023,9261-WDCAF,2026-08-31,TWR00085,118,3500.99,3.419,0,False
USG00000024,3969-JQABI,2026-08-31,TWR00071,41,790.72,0.772,8,False
USG00000025,9916-AYHTC,2026-08-31,TWR00071,112,1370.25,1.338,15,False
USG00000026,5022-JNQEQ,2026-08-31,TWR00096,82,3497.87,3.416,4,False
USG00000027,2361-FJWNO,2026-08-31,TWR00070,36,2198.83,2.147,3,False
USG00000028,8565-HBFNN,2026-08-31,TWR00077,124,1066.34,1.041,0,False
